대상ID,등록일시,마케팅팀,대리점명,매장명,매장코드,주소,공사내용,시공업체,공사기간,공사완료여부,완료처리일
,2026-05-22 08:41:30,동대구마케팅팀,안심대리점,안심대리점 본점,D337030000,"대구 동구 안심로41길 31, 1동 1호(신기동,신기모란2차상가)",,,2026-06-15 ~ 2026-06-24,Y,
8e92157eed6144bd9fa4eaff4de3fe3b,2026-05-22 16:44:12,서대구마케팅팀,경북고령대리점,경북고령대리점 중앙로직영점,D333080041,경북 고령군 고령읍 시장길 2 (),전원점검,,,N,
057d6a867fa54c60ba8e8fe4d25a78c1,2026-05-22 16:44:14,경북마케팅팀,SK매우만족대리점,SK매우만족대리점 본점,D336480000,경북 예천군 예천읍 시장로 144,65555ㅇㅇ,가구,,N,
legacy-target-4,2026-05-22 16:44:15,경북마케팅팀,SK매우만족대리점,SK매우만족대리점 본점,D336480000,경북 예천군 예천읍 시장로 144,,,,N,
f368db0d9f5d4169847aca8f31238ce4,2026-05-22 16:44:16,동대구마케팅팀,상상대리점,상상대리점 종로센터점,D336790007,대구 중구 종로 17 (종로2가),DID,DID,,N,
5e2e32697beb44898b0fd30e44f211c9,2026-05-22 16:44:17,동대구마케팅팀,상상대리점,상상대리점 종로센터점,D336790007,대구 중구 종로 17 (종로2가),가구,가구,,N,
legacy-target-2,2026-05-22 16:44:18,동대구마케팅팀,상상대리점,상상대리점 종로센터점,D336790007,대구 중구 종로 17 (종로2가),매장 인테리어,디자인피아,2026-05-22 ~ 2026-05-22,N,
